tanggal,waktu,username,full_text,sentimen,cleaning,case_folding,hasil_normalisasi,tokenize,stopword_removal,steming_data
Wed Oct 29,10:40:22,AboutCirebonID,DPRD Kota Cirebon Terima Aspirasi Mahasiswa Soal Penolakan Kenaikan PPN 12 Persen https://t.co/BmIcspvg2E #cirebon,Negatif,DPRD Kota Cirebon Terima Aspirasi Mahasiswa Soal Penolakan Kenaikan PPN  Persen  cirebon,dprd kota cirebon terima aspirasi mahasiswa soal penolakan kenaikan ppn  persen  cirebon,dprd kota cirebon terima aspirasi mahasiswa soal penolakan kenaikan ppn persen cirebon,"['dprd', 'kota', 'cirebon', 'terima', 'aspirasi', 'mahasiswa', 'soal', 'penolakan', 'kenaikan', 'ppn', 'persen', 'cirebon']","['dprd', 'kota', 'cirebon', 'terima', 'aspirasi', 'mahasiswa', 'penolakan', 'kenaikan', 'ppn', 'persen', 'cirebon']",dprd kota cirebon terima aspirasi mahasiswa tolak naik ppn persen cirebon
Sat Oct 25,18:20:10,lisalebe,@emgininamakuu lama2 males gw urus orng miskin indo kayak donasi2 BODO AMAT . padahal jiwa sosial gw tinggi bgt asli kalau kritik masalah tapera PPn 12% di bales anak abah + taq gerinda jadi kayak ah hidup masing2 aja lah skrng,Negatif,lama males gw urus orng miskin indo kayak donasi BODO AMAT  padahal jiwa sosial gw tinggi bgt asli kalau kritik masalah tapera PPn  di bales anak abah  taq gerinda jadi kayak ah hidup masing aja lah skrng,lama males gw urus orng miskin indo kayak donasi bodo amat  padahal jiwa sosial gw tinggi bgt asli kalau kritik masalah tapera ppn  di bales anak abah  taq gerinda jadi kayak ah hidup masing aja lah skrng,lama malas gue urus orang miskin indonesia kayak donasi bodo amat padahal jiwa sosial gue tinggi banget asli kalau kritik masalah tapera ppn di balas anak-anak abah taq gerinda jadi kayak ah hidup masing-masing saja lah sekarang,"['lama', 'malas', 'gue', 'urus', 'orang', 'miskin', 'indonesia', 'kayak', 'donasi', 'bodo', 'amat', 'padahal', 'jiwa', 'sosial', 'gue', 'tinggi', 'banget', 'asli', 'kalau', 'kritik', 'masalah', 'tapera', 'ppn', 'di', 'balas', 'anak-anak', 'abah', 'taq', 'gerinda', 'jadi', 'kayak', 'ah', 'hidup', 'masing-masing', 'saja', 'lah', 'sekarang']","['malas', 'gue', 'urus', 'orang', 'miskin', 'indonesia', 'kayak', 'donasi', 'bodo', 'jiwa', 'sosial', 'gue', 'banget', 'asli', 'kritik', 'tapera', 'ppn', 'balas', 'anak-anak', 'abah', 'taq', 'gerinda', 'kayak', 'ah', 'hidup']",malas gue urus orang miskin indonesia kayak donasi bodo jiwa sosial gue banget asli kritik tapera ppn balas anak abah taq gerinda kayak ah hidup
Sat Oct 25,17:15:58,almeeraenin,@mecimapro kata gw mah lu lagi bingung. Soalnya kalo lu ticketing sekarang ppn masih 11%. Sedangkan thn dpn ppn 12%. Jadi lu lagi mikir bayar vendor dllnya mau nombokin 1% apa engga. Lumayan cim 1 tiket 1%,Negatif,kata gw mah lu lagi bingung Soalnya kalo lu ticketing sekarang ppn masih  Sedangkan thn dpn ppn  Jadi lu lagi mikir bayar vendor dllnya mau nombokin  apa engga Lumayan cim  tiket,kata gw mah lu lagi bingung soalnya kalo lu ticketing sekarang ppn masih  sedangkan thn dpn ppn  jadi lu lagi mikir bayar vendor dllnya mau nombokin  apa engga lumayan cim  tiket,kata-kata gue mah kamu lagi bingung soalnya kalau kamu ticketing sekarang ppn masih sedangkan tahun depan ppn jadi kamu lagi mikir bayar vendor dllnya mau nombokin apa-apa tidak-tidak lumayan cim tiket,"['kata-kata', 'gue', 'mah', 'kamu', 'lagi', 'bingung', 'soalnya', 'kalau', 'kamu', 'ticketing', 'sekarang', 'ppn', 'masih', 'sedangkan', 'tahun', 'depan', 'ppn', 'jadi', 'kamu', 'lagi', 'mikir', 'bayar', 'vendor', 'dllnya', 'mau', 'nombokin', 'apa-apa', 'tidak-tidak', 'lumayan', 'cim', 'tiket']","['kata-kata', 'gue', 'mah', 'bingung', 'ticketing', 'ppn', 'ppn', 'mikir', 'bayar', 'vendor', 'dllnya', 'nombokin', 'apa-apa', 'tidak-tidak', 'lumayan', 'cim', 'tiket']",kata gue mah bingung ticketing ppn ppn mikir bayar vendor dllnya nombokin apa tidak lumayan cim tiket
Sat Oct 25,15:10:50,Fajarlhakim01,Ada mentri dengan mudah nya bilang kalau kita susah nyari kerja ya entenpreneur saja manfaatin platform digital Se gampang itu ya bilang padahal baru buka usaha aja udah di hadang sama : - PPN 11% Tahun depan 12% - Biaya Admin yang gede hampir 17% - Bahan baku - Pph 0 5%,Negatif,Ada mentri dengan mudah nya bilang kalau kita susah nyari kerja ya entenpreneur saja manfaatin platform digital Se gampang itu ya bilang padahal baru buka usaha aja udah di hadang sama   PPN  Tahun depan   Biaya Admin yang gede hampir   Bahan baku  Pph,ada mentri dengan mudah nya bilang kalau kita susah nyari kerja ya entenpreneur saja manfaatin platform digital se gampang itu ya bilang padahal baru buka usaha aja udah di hadang sama   ppn  tahun depan   biaya admin yang gede hampir   bahan baku  pph,ada mentri dengan mudah ya bilang-bilang kalau kita susah mencari kerja ya entenpreneur saja manfaatin platform digital se gampang itu ya bilang-bilang padahal baru buka usaha saja sudah di hadang sama-sama ppn tahun-tahun depan biaya admin yang gede hampir bahan baku pph,"['ada', 'mentri', 'dengan', 'mudah', 'ya', 'bilang-bilang', 'kalau', 'kita', 'susah', 'mencari', 'kerja', 'ya', 'entenpreneur', 'saja', 'manfaatin', 'platform', 'digital', 'se', 'gampang', 'itu', 'ya', 'bilang-bilang', 'padahal', 'baru', 'buka', 'usaha', 'saja', 'sudah', 'di', 'hadang', 'sama-sama', 'ppn', 'tahun-tahun', 'depan', 'biaya', 'admin', 'yang', 'gede', 'hampir', 'bahan', 'baku', 'pph']","['mentri', 'mudah', 'ya', 'bilang-bilang', 'susah', 'mencari', 'kerja', 'ya', 'entenpreneur', 'manfaatin', 'platform', 'digital', 'gampang', 'ya', 'bilang-bilang', 'buka', 'usaha', 'hadang', 'ppn', 'tahun-tahun', 'biaya', 'admin', 'gede', 'bahan', 'baku', 'pph']",tri mudah ya bilang susah cari kerja ya entenpreneur manfaatin platform digital gampang ya bilang buka usaha hadang ppn tahun biaya admin gede bahan baku pph
Sat Oct 25,14:58:27,Legislator75,@YudiSamudra86 @Boediantar4 Kok tau uang negara banyak drmna???..ngaco aja lu..udh jelas smpe Agustus kmaren aja apbn defisit 153 7 T ngerti lu arti defisit?.krn defisitnya bgitu lebar makanya PPN bakal dinaikkn jdi 12% buat nutupinnya..12% itu siapa yg b,Positif,Kok tau uang negara banyak drmnangaco aja luudh jelas smpe Agustus kmaren aja apbn defisit   T ngerti lu arti defisitkrn defisitnya bgitu lebar makanya PPN bakal dinaikkn jdi  buat nutupinnya itu siapa yg b,kok tau uang negara banyak drmnangaco aja luudh jelas smpe agustus kmaren aja apbn defisit   t ngerti lu arti defisitkrn defisitnya bgitu lebar makanya ppn bakal dinaikkn jdi  buat nutupinnya itu siapa yg b,kok tau uang negara banyak drmnangaco saja luudh jelas-jelas sampai agustus kemarin saja apbn defisit t mengerti kamu arti defisitkrn defisitnya begitu lebar makanya ppn bakal dinaikkn jadi buat nutupinnya itu siapa yang b,"['kok', 'tau', 'uang', 'negara', 'banyak', 'drmnangaco', 'saja', 'luudh', 'jelas-jelas', 'sampai', 'agustus', 'kemarin', 'saja', 'apbn', 'defisit', 't', 'mengerti', 'kamu', 'arti', 'defisitkrn', 'defisitnya', 'begitu', 'lebar', 'makanya', 'ppn', 'bakal', 'dinaikkn', 'jadi', 'buat', 'nutupinnya', 'itu', 'siapa', 'yang', 'b']","['tau', 'uang', 'negara', 'drmnangaco', 'luudh', 'jelas-jelas', 'agustus', 'kemarin', 'apbn', 'defisit', 't', 'mengerti', 'arti', 'defisitkrn', 'defisitnya', 'lebar', 'ppn', 'dinaikkn', 'nutupinnya', 'b']",tau uang negara drmnangaco luudh jelas agustus kemarin apbn defisit t erti arti defisitkrn defisit lebar ppn dinaikkn nutupinnya b
Sat Oct 25,14:22:04,arillavarendra,@van_tovich @WagimanDeep212_ Jangan lupa ppn 12%,Negatif,Jangan lupa ppn,jangan lupa ppn,jangan-jangan lupa ppn,"['jangan-jangan', 'lupa', 'ppn']","['jangan-jangan', 'lupa', 'ppn']",jangan lupa ppn
Sat Oct 25,12:38:57,othmansuseno,#WhatsHappening #IndonesiaToday #MiddleClassWorker 100 Hari kabinet Bapak Presiden Prabowo tolong bantu stimulan ekonomi kami pak tabungan sudah menipis .... para pejabat naik mobil mewah dapat tunjangan rumah 50-70 juta perbulan kami dapat PPn 12% Tapera Gaji Rendah.,Negatif,WhatsHappening IndonesiaToday MiddleClassWorker  Hari kabinet Bapak Presiden Prabowo tolong bantu stimulan ekonomi kami pak tabungan sudah menipis  para pejabat naik mobil mewah dapat tunjangan rumah  juta perbulan kami dapat PPn  Tapera Gaji Rendah,whatshappening indonesiatoday middleclassworker  hari kabinet bapak presiden prabowo tolong bantu stimulan ekonomi kami pak tabungan sudah menipis  para pejabat naik mobil mewah dapat tunjangan rumah  juta perbulan kami dapat ppn  tapera gaji rendah,whatshappening indonesiatoday middleclassworker hari kabinet bapak presiden prabowo tolong bantu stimulan ekonomi kami pak tabungan sudah menipis para pejabat naik mobil mewah dapat tunjangan rumah juta perbulan kami dapat ppn tapera gaji rendah,"['whatshappening', 'indonesiatoday', 'middleclassworker', 'hari', 'kabinet', 'bapak', 'presiden', 'prabowo', 'tolong', 'bantu', 'stimulan', 'ekonomi', 'kami', 'pak', 'tabungan', 'sudah', 'menipis', 'para', 'pejabat', 'naik', 'mobil', 'mewah', 'dapat', 'tunjangan', 'rumah', 'juta', 'perbulan', 'kami', 'dapat', 'ppn', 'tapera', 'gaji', 'rendah']","['whatshappening', 'indonesiatoday', 'middleclassworker', 'kabinet', 'presiden', 'prabowo', 'tolong', 'bantu', 'stimulan', 'ekonomi', 'tabungan', 'menipis', 'pejabat', 'mobil', 'mewah', 'tunjangan', 'rumah', 'juta', 'perbulan', 'ppn', 'tapera', 'gaji', 'rendah']",whatshappening indonesiatoday middleclassworker kabinet presiden prabowo tolong bantu stimulan ekonomi tabung tip jabat mobil mewah tunjang rumah juta bulan ppn tapera gaji rendah
Sat Oct 25,10:33:42,ranggadjie,@ARSIPAJA Jadi taukan kenapa PPN naik jadi 12% januari nanti?,Negatif,Jadi taukan kenapa PPN naik jadi  januari nanti,jadi taukan kenapa ppn naik jadi  januari nanti,jadi taukan kenapa ppn naik jadi januari nanti,"['jadi', 'taukan', 'kenapa', 'ppn', 'naik', 'jadi', 'januari', 'nanti']","['taukan', 'ppn', 'januari']",tau ppn januari
Sat Oct 25,9:52:36,sufisijawara,@tanyarlfes Maaf maksudnya tahun per 1 Januari 2025 PPN akan dinaikkan menjadi 12%,Negatif,Maaf maksudnya tahun per  Januari  PPN akan dinaikkan menjadi,maaf maksudnya tahun per  januari  ppn akan dinaikkan menjadi,maaf maksudnya tahun-tahun per januari ppn akan dinaikkan menjadi,"['maaf', 'maksudnya', 'tahun-tahun', 'per', 'januari', 'ppn', 'akan', 'dinaikkan', 'menjadi']","['maaf', 'maksudnya', 'tahun-tahun', 'januari', 'ppn', 'dinaikkan']",maaf maksud tahun januari ppn naik
Sat Oct 25,9:39:38,sufisijawara,@tanyarlfes Lah setiap orang berhak mendapat gaji layak. Siapa juga yang mau bekerja dibayar underpaid tapi tuntutan pekerjaan terus bertambah? Apalagi 2024 PPN bakal naik jadi 12%,Negatif,Lah setiap orang berhak mendapat gaji layak Siapa juga yang mau bekerja dibayar underpaid tapi tuntutan pekerjaan terus bertambah Apalagi  PPN bakal naik jadi,lah setiap orang berhak mendapat gaji layak siapa juga yang mau bekerja dibayar underpaid tapi tuntutan pekerjaan terus bertambah apalagi  ppn bakal naik jadi,lah setiap orang-orang berhak mendapat gaji layak siapa juga yang mau bekerja dibayar underpaid tapi tuntutan pekerjaan terus bertambah apalagi ppn bakal naik jadi,"['lah', 'setiap', 'orang-orang', 'berhak', 'mendapat', 'gaji', 'layak', 'siapa', 'juga', 'yang', 'mau', 'bekerja', 'dibayar', 'underpaid', 'tapi', 'tuntutan', 'pekerjaan', 'terus', 'bertambah', 'apalagi', 'ppn', 'bakal', 'naik', 'jadi']","['orang-orang', 'berhak', 'gaji', 'layak', 'dibayar', 'underpaid', 'tuntutan', 'pekerjaan', 'bertambah', 'ppn']",orang hak gaji layak bayar underpaid tuntut kerja tambah ppn
Sat Oct 25,7:49:32,roflumilasted,Semangat bayar PPN 12% + Tapera bang,Positif,Semangat bayar PPN   Tapera bang,semangat bayar ppn   tapera bang,semangat bayar ppn tapera abang,"['semangat', 'bayar', 'ppn', 'tapera', 'abang']","['semangat', 'bayar', 'ppn', 'tapera', 'abang']",semangat bayar ppn tapera abang
Sat Oct 25,5:32:09,RizalFauzan6,@FayaAtika Gak usah sakit hati.. tenang wae thn depan tak tambahi PPN 12%.,Negatif,Gak usah sakit hati tenang wae thn depan tak tambahi PPN,gak usah sakit hati tenang wae thn depan tak tambahi ppn,tidak usah sakit hati-hati tenang wae tahun depan tak tambahi ppn,"['tidak', 'usah', 'sakit', 'hati-hati', 'tenang', 'wae', 'tahun', 'depan', 'tak', 'tambahi', 'ppn']","['sakit', 'hati-hati', 'tenang', 'wae', 'tambahi', 'ppn']",sakit hati tenang wae tambah ppn
Sat Oct 25,4:39:06,pajakpandan,PPN Naik 12% di Tahun 2025? Ada 6 Barang dan Jasa yang terbebas dari PPN 12% Tahun 2025 1. Barang kebutuhan pokok yang dibutuh oleh banyak masyarakat 2. Jasa Pelayanan Kesehatan 3. Jasa Pelayanan Sosial 4. Jasa Asuransi 5. Jasa Pendidikan 6. Jasa Tenaga Kerja 2 ming https://t.co/70NhoW7SJe,Positif,PPN Naik  di Tahun  Ada  Barang dan Jasa yang terbebas dari PPN  Tahun   Barang kebutuhan pokok yang dibutuh oleh banyak masyarakat  Jasa Pelayanan Kesehatan  Jasa Pelayanan Sosial  Jasa Asuransi  Jasa Pendidikan  Jasa Tenaga Kerja  ming,ppn naik  di tahun  ada  barang dan jasa yang terbebas dari ppn  tahun   barang kebutuhan pokok yang dibutuh oleh banyak masyarakat  jasa pelayanan kesehatan  jasa pelayanan sosial  jasa asuransi  jasa pendidikan  jasa tenaga kerja  ming,ppn naik di tahun-tahun ada barang dan jasa yang terbebas dari ppn tahun-tahun barang kebutuhan pokok yang dibutuh oleh banyak masyarakat jasa pelayanan kesehatan jasa pelayanan sosial jasa asuransi jasa pendidikan jasa tenaga kerja ming,"['ppn', 'naik', 'di', 'tahun-tahun', 'ada', 'barang', 'dan', 'jasa', 'yang', 'terbebas', 'dari', 'ppn', 'tahun-tahun', 'barang', 'kebutuhan', 'pokok', 'yang', 'dibutuh', 'oleh', 'banyak', 'masyarakat', 'jasa', 'pelayanan', 'kesehatan', 'jasa', 'pelayanan', 'sosial', 'jasa', 'asuransi', 'jasa', 'pendidikan', 'jasa', 'tenaga', 'kerja', 'ming']","['ppn', 'tahun-tahun', 'barang', 'jasa', 'terbebas', 'ppn', 'tahun-tahun', 'barang', 'kebutuhan', 'pokok', 'dibutuh', 'masyarakat', 'jasa', 'pelayanan', 'kesehatan', 'jasa', 'pelayanan', 'sosial', 'jasa', 'asuransi', 'jasa', 'pendidikan', 'jasa', 'tenaga', 'kerja', 'ming']",ppn tahun barang jasa bebas ppn tahun barang butuh pokok butuh masyarakat jasa layan sehat jasa layan sosial jasa asuransi jasa didik jasa tenaga kerja ming
Sat Oct 25,3:42:04,p023456,@tempodotco Fokus utang ke kreditur global dgn fokus penerimaan negara melalui pajak... Thn 2025 udah naik 12% lagi PPN..,Negatif,Fokus utang ke kreditur global dgn fokus penerimaan negara melalui pajak Thn  udah naik  lagi PPN,fokus utang ke kreditur global dgn fokus penerimaan negara melalui pajak thn  udah naik  lagi ppn,fokus utang ke kreditur global dengan fokus penerimaan negara melalui pajak tahun sudah naik lagi ppn,"['fokus', 'utang', 'ke', 'kreditur', 'global', 'dengan', 'fokus', 'penerimaan', 'negara', 'melalui', 'pajak', 'tahun', 'sudah', 'naik', 'lagi', 'ppn']","['fokus', 'utang', 'kreditur', 'global', 'fokus', 'penerimaan', 'negara', 'pajak', 'ppn']",fokus utang kreditur global fokus terima negara pajak ppn
Sat Oct 25,2:41:34,konsultasi20124,Halo #SobatKPA Tarif PPN Mestinya Naik Jadi 12% DPR Minta Tunggu Ekonomi Membaik https://t.co/qxR7HP6QtC,Negatif,Halo SobatKPA Tarif PPN Mestinya Naik Jadi  DPR Minta Tunggu Ekonomi Membaik,halo sobatkpa tarif ppn mestinya naik jadi  dpr minta tunggu ekonomi membaik,halo sobatkpa tarif ppn mestinya naik jadi dpr meminta tunggu ekonomi membaik,"['halo', 'sobatkpa', 'tarif', 'ppn', 'mestinya', 'naik', 'jadi', 'dpr', 'meminta', 'tunggu', 'ekonomi', 'membaik']","['halo', 'sobatkpa', 'tarif', 'ppn', 'mestinya', 'dpr', 'tunggu', 'ekonomi', 'membaik']",halo sobatkpa tarif ppn mesti dpr tunggu ekonomi baik
